data:text/csv;charset=utf-8,
year,occupation_family,occupation_group,average_age,average_wage,wage,jobs,average_establishment_size,color,icon,ID CBO
2003,"Trabalhadores da Pré-impressão Gráfica","Trabalhadores Especializados da Produção",41,936.06,153515.17,164,2,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7661"
2003,"Profissionais de Recursos Humanos","Profissionais das Ciências e das Artes",42,2284.74,829363.94,363,3,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2524"
2003,"Lubrificadores","Trabalhadores de Manutenção e Reparação",43,578.33,367822.02,636,2,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9191"
2003,"Supervisores na Área Florestal e Aquicultura","Trabalhadores Agropecuários, Florestais e da Pesca",42,894.7,31314.5,35,1,"#105B10","/static/img/icons/occupation_group/occupation_group_6.png","6301"
2003,"Delegados de Polícia","Profissionais das Ciências e das Artes",43,5218.2,29488093.06,5651,188,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2423"
2003,"Operadores Polivalentes em Indústrias Químicas","Trabalhadores da Indústria",42,781.55,17975.84,23,2,"#FFC41C","/static/img/icons/occupation_group/occupation_group_8.png","8110"
2003,"Mecânicos de Equipamentos Esportivos","Trabalhadores de Manutenção e Reparação",41,601.27,25854.8,43,2,"#581F05","/static/img/icons/occupation_group/occupation_group_9.png","9193"
2003,"Operadores de Fabricação de Materiais de Construção","Trabalhadores da Indústria",43,574.86,5748.6,10,1,"#FFC41C","/static/img/icons/occupation_group/occupation_group_8.png","8232"
2003,"Geólogos e Afins","Profissionais das Ciências e das Artes",46,2729.17,480335.05,176,1,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2134"
2003,"Peritos Criminais","Profissionais das Ciências e das Artes",43,3570.23,7308275.49,2047,170,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2041"
2003,"Auxiliares de Correios","Trabalhadores de Serviços Administrativos",35,392.22,143945.9,367,2,"#B7834B","/static/img/icons/occupation_group/occupation_group_4.png","4152"
2003,"Instrutores e Professores de Escolas Livres","Técnicos de Nível Médio",38,718.36,3952458.83,5502,14,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3331"
